Name	Id	*StringName	GroupName
Null	0	Null	
Act 1 - Town	1	Rogue Encampment	[jg]Rogue Encampment
Act 1 - Blood Moor	2	Blood Moor	[jg]Blood Moor
Act 1 - Cold Plains	3	Cold Plains	[jg]Cold Plains
Act 1 - Stony Field	4	Stony Field	[jg]Stony Field
Act 1 - Dark Wood	5	Dark Wood	[jg]Dark Wood
Act 1 - Black Marsh	6	Black Marsh	[jg]Black Marsh
Act 1 - Tamoe Highland	7	Tamoe Highland	[jg]Tamoe Highland
Act 1 - Den of Evil	8	Den of Evil	[jg]Den of Evil
Act 1 - Cave	9	Cave	[jg]Cave
Act 1 - Underground Passage	10	Underground Passage	[jg]Underground Passage
Act 1 - Hole	11	Hole	[jg]Hole
Act 1 - Pit	12	Pit	[jg]Act 1 Pit
Act 1 - Burial Grounds	13	Burial Grounds	[jg]Burial Grounds
Act 1 - Crypt	14	Crypt	[jg]Crypt
Act 1 - Mausoleum	15	Mausoleum	[jg]Mausoleum
Act 1 - Forgotten Tower	16	Forgotten Tower	[jg]Forgotten Tower
Act 1 - Monastery Gate	17	Monastery Gate	[jg]Monastery Gate
Act 1 - Outer Cloister	18	Outer Cloister	[jg]Outer Cloister
Act 1 - Barracks	19	Barracks	[jg]Barracks
Act 1 - Jail	20	Jail Level 1	[jg]Jail
Act 1 - Inner Cloister	21	Inner Cloister	[jg]Inner Cloister
Act 1 - Cathedral	22	Cathedral	[jg]Cathedral
Act 1 - Catacombs	23	Catacombs	[jg]Catacombs
Act 1 - Tristram	24	Tristram	[jg]Tristram
Act 1 - Moo Moo Farm	25	Moo Moo Farm	[jg]MooMooFarmGroup
Act 2 - Town	26	Lut Gholein	[jg]Lut Gholein
Act 2 - Rocky Waste	27	Rocky Waste	[jg]Rocky Waste
Act 2 - Dry Hills	28	Dry Hills	[jg]Dry Hills
Act 2 - Far Oasis	29	Far Oasis	[jg]Far Oasis
Act 2 - Lost City	30	Lost City	[jg]Lost City
Act 2 - Valley of Snakes	31	Valley of Snakes	[jg]Valley of Snakes
Act 2 - Canyon of the Magi	32	Canyon of the Magi	[jg]Canyon of the Magi
Act 2 - Sewers	33	Sewers	[jg]Lut Gholein Sewers
Act 2 - Harem	34	Harem	[jg]Harem
Act 2 - Palace Cellar	35	Palace Cellar	[jg]Palace Cellar
Act 2 - Stony Tomb	36	Stony Tomb	[jg]Stony Tomb
Act 2 - Halls of the Dead	37	Halls of the Dead	[jg]Halls of the Dead
Act 2 - Claw Viper Temple	38	Claw Viper Temple	[jg]Claw Viper Temple
Act 2 - Maggot Lair	39	Maggot Lair	[jg]Maggot Lair
Act 2 - Ancient Tunnels	40	Ancient Tunnels	[jg]Ancient Tunnels
Act 2 - Tal Rasha's Tomb	41	Tal Rasha's Tomb	[jg]Tal Rasha's Tomb
Act 2 - Duriel's Lair	42	Duriel's Lair	[jg]Duriel's Lair
Act 2 - Arcane Sanctuary	43	Arcane Sanctuary	[jg]Arcane Sanctuary
Act 3 - Town	44	Kurast Docktown	[jg]Kurast Docktown
Act 3 - Spider Forest	45	Spider Forest	[jg]Spider Forest
Act 3 - Great Marsh	46	Great Marsh	[jg]Great Marsh
Act 3 - Flayer Jungle	47	Flayer Jungle	[jg]Flayer Jungle
Act 3 - Lower Kurast	48	Lower Kurast	[jg]Lower Kurast
Act 3 - Kurast Bazaar	49	Kurast Bazaar	[jg]Kurast Bazaar
Act 3 - Upper Kurast	50	Upper Kurast	[jg]Upper Kurast
Act 3 - Kurast Causeway	51	Kurast Causeway	[jg]Kurast Causeway
Act 3 - Travincal	52	Travincal	[jg]Travincal
Act 3 - Arachnid Lair	53	Arachnid Lair	[jg]Spider Cave
Act 3 - Spider Cavern	54	Spider Cavern	[jg]Spider Cavern
Act 3 - Swampy Pit	55	Swampy Pit	[jg]Swampy Pit
Act 3 - Flayer Dungeon	56	Flayer Dungeon	[jg]Flayer Dungeon
Act 3 - Sewers	57	Sewers	[jg]Kurast Sewers
Act 3 - Ruined Temple	58	Ruined Temple	[jg]Ruined Temple
Act 3 - Disused Fane	59	Disused Fane	[jg]Disused Fane
